DC/DP/PP,size,where defined,data type,variable name,default value,comment
DP,1,static const,unsigned int,FLUID_NUM_VARS,5,
DP,1,extern,unsigned int,FLUID_RESTORE_SOLVER,0,restore the solver from check point if set to 1
DP,1,extern,unsigned int,FLUID_IO_OUTPUT_FREQ,10,frequency for VTU output
DP,1,extern,unsigned int,FLUID_REMESH_TEST_FREQ,10,frequency for remeshing test based on wavelets
DP,1,extern,unsigned int,FLUID_CHECKPT_FREQ,10000,frequency for checkpoint output
DP,1,extern,double,FLUID_IO_OUTPUT_GAP,1,VTU file output gap. (Not currently used. Might be usefull in adaptive timestepping)
DP,1,extern,std::string,FLUID_VTU_FILE_PREFIX,"""fluid_gr""",file prefix for the vtu files
DP,1,extern,std::string,FLUID_CHKPT_FILE_PREFIX,"""fluid_cp""",file prefix for the checkpoint files
DP,1,extern,std::string,FLUID_PROFILE_FILE_PREFIX,"""fluid_prof""",file prefix for the intermediate profile files
DP,1,extern,unsigned int,FLUID_NUM_EVOL_VARS_VTU_OUTPUT,5,number of variables (evolution) to output in vtu files
DP,FLUID_NUM_VARS,extern,unsigned int,FLUID_VTU_OUTPUT_EVOL_INDICES,"0,1,2,3,4",evolution variable ids
DP,1,extern,unsigned int,FLUID_DENDRO_GRAIN_SZ,100,"grain size N/p , Where N number of total octants, p number of active cores"
DP,1,extern,unsigned int,FLUID_ASYNC_COMM_K,2,variable group size for the asynchronous unzip operation
DP,1,extern,double,FLUID_DENDRO_AMR_FAC,1,"dendro coarsening factor, corsent if computed wavelet tol < FLUID_DENDRO_AMR_FAC*FLUID_WAVELET_TOL"
DP,1,extern,double,FLUID_LOAD_IMB_TOL,0.1,dendro load imbalance tolerance for flexible partitioning
DP,1,extern,unsigned int,FLUID_DIM,3,"dimentionality of the octree, (meshing is supported only for 3D)"
DP,1,extern,unsigned int,FLUID_MAXDEPTH,8,maximum level of refinement of the mesh
DP,1,extern,double,FLUID_WAVELET_TOL,1.00E-04,wavelet tolerance
DP,1,extern,unsigned int,FLUID_NUM_REFINE_VARS,2,number of refinement variables
DP,FLUID_NUM_VARS,extern,unsigned int,FLUID_REFINE_VARIABLE_INDICES,"0,1,2,3,4",refinement variable IDs
DP,1,extern,double,FLUID_RK45_TIME_BEGIN,0,simulation time begin
DP,1,extern,double,FLUID_RK45_TIME_END,30,simulation time end
DP,1,extern,double,FLUID_RK45_TIME_STEP_SIZE,0.01,"prefered time step size (this is overwrited with the specified CFL factor, not recommend to use this)"
DP,1,extern,double,FLUID_RK45_DESIRED_TOL,1.00E-03,used in adaptive time stepping (not currently used)
DP,1,extern,double,KO_DISS_SIGMA,1.00E-01,Kreiss-Oliger dissipation
DP,1,extern,unsigned int,FLUID_ENABLE_BLOCK_ADAPTIVITY,0,Set to 1 disable AMR and use block adaptivity (not recomended).
DP,1,extern,double,FLUID_BLK_MIN_X,-6,
DP,1,extern,double,FLUID_BLK_MIN_Y,-6,
DP,1,extern,double,FLUID_BLK_MIN_Z,-6,
DP,1,extern,double,FLUID_BLK_MAX_X,6,
DP,1,extern,double,FLUID_BLK_MAX_Y,6,
DP,1,extern,double,FLUID_BLK_MAX_Z,6,
DP,1,extern,double,FLUID_GRID_MIN_X,-200,
DP,1,extern,double,FLUID_GRID_MAX_X,200,
DP,1,extern,double,FLUID_GRID_MIN_Y,-200,
DP,1,extern,double,FLUID_GRID_MAX_Y,200,
DP,1,extern,double,FLUID_GRID_MIN_Z,-200,
DP,1,extern,double,FLUID_GRID_MAX_Z,200,
DP,1,static const,double,FLUID_CFL_FACTOR,0.1,!!MAKE THIS EXTERN!!  CFL stability number number (specifies how dt=FLUID_CFL_FACTOR*dx)
PP,1,extern,unsigned int,FLUID_ID_TYPE,1,1-familyA
DP,1,extern,unsigned int,FLUID_COORDS,0,"0 = cartesian, 1 = cylindrical"
DP,1,extern,unsigned int,FLUID_RECON_METHOD,2,"0 = none, 1 = minmod, 2 = WENO3"
DP,1,extern,double,FLUID_GAMMA,1.6667,"Determines polytropic index, must be in range (1,2]."
DP,1,extern,double,FLUID_VACUUM,1.00E-10,Vacuum density
DP,1,extern,double,FLUID_VACUUM_D,1.00E-10,Vacuum relativistic density
DP,1,extern,double,FLUID_VACUUM_TAU,1.00E-10,Vacuum energy density
DP,1,extern,unsigned int,FLUID_EOS_SOLVER,1,
DP,1,extern,unsigned int,FLUID_USE_WAVE_SPEEDS,1,
DP,1,extern,unsigned int,FLUID_CONTOPRIMWARN,1,
DP,1,extern,unsigned int,FLUID_AVERAGING_FREQUENCY,1,Determines how frequently spherical averages should be calculated
DP,1,extern,double,FLUID_UNITS_CLU,1,
DP,1,extern,double,FLUID_UNITS_CMU,1,
DP,1,extern,double,FLUID_UNITS_CKB,1,
,1,,,DENDRO_VERSION,5,
